,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
2340,6.837875,4.990510000000001,1.199,0.0735595,0.00638417,0.0025871,0.00173396,0.00126684,0.00104971,0.00087054
2341,6.829277,4.989224999999997,1.199,0.520571,0.0443645,0.0179137,0.0120149,0.00877992,0.00727532,0.00603363
2342,6.819263,4.981974000000002,1.199,0.810415,0.069484,0.0288507,0.0193794,0.0141643,0.0117373,0.0097341
2343,7.020754,5.102826000000005,1.195,0.981345,0.0776751,0.0321726,0.0216106,0.015795,0.0130885,0.0108548
2344,7.02062,5.113521999999995,1.195,0.233182,0.0198951,0.00826028,0.00554855,0.0040554,0.00336051,0.00278698
2346,6.123168,5.6862589999999935,1.195,0.312971,0.0268885,0.0111653,0.00749986,0.0054816,0.00454233,0.00376711
2347,6.115304,5.685538999999997,1.195,0.096628,0.0128524,0.00522833,0.00310354,0.0020225,0.00157485,0.00124133
2348,7.045206,6.984696999999996,1.192,0.134302,0.0115929,0.00475449,0.0031929,0.00233364,0.00193377,0.00160374
2349,7.037606,6.9757310000000015,1.192,0.101294,0.00865603,0.00359341,0.00241374,0.00176419,0.0014619,0.0012124
2350,7.042834,6.977395999999994,1.192,0.0848606,0.00725167,0.0030112,0.00202267,0.00147836,0.00122504,0.00101597
2351,7.030855,6.979632999999998,1.192,0.413474,0.0349485,0.0144644,0.00971495,0.00710052,0.00588384,0.00487967
2353,6.007884,6.433349999999996,1.193,0.0507055,0.00429724,0.00178437,0.00119859,0.000876039,0.000725931,0.000602039
2354,6.810139,4.925692,1.2,0.87202,0.0810428,0.0295737,0.0196484,0.0143369,0.0118777,0.00984993
2363,5.713551,5.566481000000001,1.2,1.23416,0.101025,0.0417733,0.0280592,0.0205083,0.0169942,0.0140939
2364,6.928327,6.774213999999994,1.208,0.306899,0.0263955,0.0109605,0.00736235,0.00538109,0.00445905,0.00369804
2365,6.916415,6.781977000000004,1.208,0.0584884,0.00501471,0.00207787,0.00139559,0.00102001,0.00084523,0.000700977
2366,6.92096,6.785269999999997,1.208,0.16703,0.0142543,0.00591727,0.00397472,0.00290509,0.00240731,0.00199646
2367,6.805954,5.406930000000005,1.207,0.062143,0.00533875,0.00221317,0.0014866,0.00108655,0.000900368,0.000746706
2376,6.89814,6.766880999999994,1.207,0.052927,0.00408002,0.00168641,0.00113275,0.000827916,0.000686053,0.000568967
2377,7.056165,7.0259469999999995,1.213,0.0886708,0.00731264,0.00302789,0.00203384,0.00148652,0.00123181,0.00102158
2378,7.058087,7.033094999999994,1.213,0.0577633,0.00465345,0.00192812,0.00129513,0.000946601,0.000784402,0.000650531
2379,6.745329,5.490061000000002,1.21,0.188396,0.015566,0.00645013,0.0043326,0.00316667,0.00262406,0.00217622
2380,6.355123,6.750333000000007,1.212,1.05537,0.0595294,0.0240341,0.01614,0.0117965,0.00977514,0.00810685
2381,6.3498220000000005,6.751839000000007,1.212,0.660096,0.0568375,0.0235922,0.0158472,0.0115826,0.00959793,0.00795989
2382,6.348232,6.752225999999998,1.212,0.0569994,0.00486774,0.0020213,0.00135773,0.000992358,0.000822318,0.000681976
2383,6.356175,6.752681999999994,1.212,1.4124,0.12016,0.0498949,0.0335151,0.024496,0.0202986,0.0168343
2384,4.847285,4.884035000000003,1.215,0.0917714,0.00790304,0.00328154,0.00220426,0.00161108,0.00133502,0.00110718
2387,6.386869,6.837782999999994,1.214,0.100836,0.00859771,0.00356821,0.00239681,0.00175181,0.00145164,0.00120389
2388,6.38564,6.839744,1.214,0.0952051,0.0210314,0.0104789,0.00563813,0.00310802,0.00214881,0.00151526
2389,5.242766,4.960450999999999,1.214,0.268733,0.0211595,0.00878623,0.00590184,0.00431362,0.00357448,0.00296444
2390,5.108207,5.041728000000005,1.21,0.0707438,0.00607935,0.00251699,0.00169063,0.00123567,0.00102394,0.000849188
2391,5.110015,5.046345999999995,1.21,0.0716451,0.00612483,0.00254205,0.00170753,0.00124802,0.00103417,0.000857674
2392,5.113012,5.042348000000001,1.21,0.056044,0.00481859,0.00200051,0.00134377,0.000982154,0.000813863,0.000674964
2393,6.750801,5.441863999999996,1.21,0.117811,0.00953555,0.00395143,0.00265419,0.00193993,0.00160752,0.00133317
2394,6.75681,5.441242000000005,1.21,22.9873,1.96267,0.814277,0.54696,0.399769,0.331269,0.274733
2398,5.096249,4.995282999999994,1.212,0.237923,0.020948,0.0084952,0.00568264,0.00414901,0.00343734,0.00285046
2399,5.086196,5.0065820000000025,1.212,0.0610511,0.00518276,0.00215169,0.00144532,0.00105637,0.000875365,0.00072597
2400,5.66298,6.452467999999993,1.223,18.8677,1.64076,0.656414,0.440485,0.321926,0.266763,0.221235
2401,5.661509,6.449201000000002,1.223,0.0559535,0.00481875,0.0020001,0.00134347,0.000981935,0.000813681,0.000674813
2411,7.024055000000001,5.1239330000000045,1.223,0.559039,0.0479269,0.0199,0.0133671,0.00976994,0.00809587,0.00671418
2412,7.026598,5.125597999999997,1.223,1.49877,0.13745,0.0541525,0.0359278,0.0261734,0.0216743,0.0179708
2413,7.028553,5.114094000000005,1.223,0.103248,0.00877534,0.00364385,0.00244763,0.00178895,0.00148242,0.00122942
2414,5.745697,5.324612000000005,1.222,0.249099,0.0241141,0.0111063,0.00732236,0.00509885,0.00407672,0.00326581
2415,5.756039,5.337569000000005,1.222,0.261464,0.0330952,0.0163966,0.0104459,0.00687937,0.00526879,0.00402924
2417,5.671622,5.415121000000002,1.218,0.155947,0.0130868,0.00543419,0.00365022,0.00266792,0.00221078,0.00183347
2418,5.673516,5.414613000000003,1.218,0.0364385,0.132612,0.213602,0.194309,0.151347,0.119903,0.0889353
2422,5.784023,5.174172000000005,1.223,0.0512641,0.00449784,0.00183804,0.0012283,0.00089587,0.00074188,0.000615045
2423,5.756966,4.940992000000002,1.23,13.2679,1.20432,0.478389,0.318053,0.231824,0.191994,0.159193
2424,5.745392,4.942640999999996,1.23,1.58732,0.150988,0.0567778,0.0377049,0.0275087,0.0227899,0.0188993
2425,7.114565,5.438147999999997,1.229,0.0613396,0.00414338,0.00166643,0.0011187,0.000817615,0.000677515,0.000561885
2426,5.00532,5.178362999999999,1.227,0.84144,0.0717109,0.0297753,0.0200005,0.0146182,0.0121134,0.0100461
2431,5.767687,5.373609999999997,1.232,0.120921,0.0112718,0.00466486,0.00305482,0.00218571,0.00179207,0.00147412
