,z,RADeg,decDeg,comoving_pos_x_Mpc,comoving_pos_y_Mpc,comoving_pos_z_Mpc,pec_vel_x_km_s,pec_vel_y_km_s,pec_vel_z_km_s,Mfof,Mvir,Mgas_vir,Rvir,int_tSZ_in_Rvir,int_kSZ_in_Rvir,int_SZ_in_Rvir_148GHz,int_SZ_in_Rvir_219GHz,int_SZ_in_Rvir_277GHz,int_SZ_in_Rvir_30GHz,int_SZ_in_Rvir_90GHz,int_SZ_in_Rvir_350GHz,M200,Mgas_200,R200,int_tSZ_in_R200,int_kSZ_in_R200,int_SZ_in_R200_148GHz,int_SZ_in_R200_219GHz,int_SZ_in_R200_277GHz,int_SZ_in_R200_30GHz,int_SZ_in_R200_90GHz,int_SZ_in_R200_350GHz,M500,Mgas_500,R500,int_tSZ_in_R500,int_kSZ_in_R500,int_SZ_in_R500_148GHz,int_SZ_in_R500_219GHz,int_SZ_in_R500_277GHz,int_SZ_in_R500_30GHz,int_SZ_in_R500_90GHz,int_SZ_in_R500_350GHz,Mstar,rho_gas_c,T_c,P_c,Phi_c
31,0.1969,4.997936,5.509171000000006,791.4949,69.21809,76.63152,-129.9658,-503.0699,63.06974,278250200000000.0,226733100000000.0,29532530000000.0,1.427621,0.0002313543,3.674387e-05,-0.0001872384,3.813473e-05,0.0002465081,-0.0004123725,-0.0003292365,0.000528224,162336700000000.0,19563050000000.0,1.053062,0.0001805149,2.763246e-05,-0.0001470571,2.864222e-05,0.0001910619,-0.0003227143,-0.0002578235,0.0004107427,97267430000000.0,9344166000000.0,0.6538797,0.0001110712,1.587626e-05,-9.151397e-05,1.639779e-05,0.0001161186,-0.0001995905,-0.0001596317,0.0002511181,5017603000000.0,49090000000000.0,3.031604,25320000000000.0,-2.54232
33,0.2025,6.999986,6.920624000000001,807.9682,99.20582,98.80648,-80.32853,-189.2219,90.58809,135809200000000.0,128696700000000.0,13895320000000.0,1.179729,6.873011e-05,9.018903e-06,-5.771295e-05,9.791433e-06,7.226215e-05,-0.0001246458,-0.0001000193,0.0001562978,112837900000000.0,11610630000000.0,0.9354789,6.286137e-05,7.871341e-06,-5.314235e-05,8.556875e-06,6.564763e-05,-0.0001143592,-9.182887e-05,0.0001424726,81312500000000.0,7516095000000.0,0.6147701,4.89883e-05,5.603956e-06,-4.190978e-05,6.101786e-06,5.051407e-05,-8.961529e-05,-7.204566e-05,0.0001103237,2972895000000.0,87330000000000.0,2.243229,33330000000000.0,-1.98
35,0.2091,6.020786,5.341646999999997,836.7983,88.25799,78.67494,-69.28266,-194.6289,-200.9193,81889180000000.0,51709370000000.0,4674630000000.0,0.8680915,1.53804e-05,3.924314e-06,-1.106923e-05,4.151907e-06,1.826169e-05,-2.60479e-05,-2.055629e-05,3.717185e-05,43539670000000.0,3560842000000.0,0.6767914,1.303317e-05,3.129601e-06,-9.571739e-06,3.318381e-06,1.526581e-05,-2.226427e-05,-1.760949e-05,3.128316e-05,31140960000000.0,2145507000000.0,0.4456482,9.486952e-06,2.065282e-06,-7.174989e-06,2.197431e-06,1.088245e-05,-1.641373e-05,-1.302386e-05,2.253274e-05,1541973000000.0,63900000000000.0,1.452389,15790000000000.0,-1.260162
36,0.2095,4.95986,5.717218000000005,839.4378,72.84874,84.35769,-159.3644,-136.6461,-181.1413,36619460000000.0,29891470000000.0,2413886000000.0,0.7222236,5.942188e-06,3.708172e-06,-2.101319e-06,3.80014e-06,9.279067e-06,-7.883526e-06,-5.767668e-06,1.661451e-05,25470230000000.0,1798747000000.0,0.5664468,5.024052e-06,2.978062e-06,-1.932817e-06,3.054859e-06,7.685057e-06,-6.82153e-06,-5.032312e-06,1.388542e-05,18838360000000.0,1027385000000.0,0.3781539,3.552052e-06,1.932215e-06,-1.538571e-06,1.985269e-06,5.256073e-06,-4.994852e-06,-3.729486e-06,9.637646e-06,1018403000000.0,31510000000000.0,0.9363908,5020000000000.0,-0.736956
38,0.2239,6.528856,7.169866000000003,888.8791,101.7285,112.5465,370.6942,-12.57249,-189.3251,110723400000000.0,87848260000000.0,9634032000000.0,1.027007,3.659209e-05,-2.114821e-05,-5.652385e-05,-2.046896e-05,1.277491e-05,-9.234289e-05,-7.916103e-05,5.723338e-05,75930110000000.0,7889455000000.0,0.8112309,3.308959e-05,-1.813832e-05,-5.011694e-05,-1.753539e-05,1.250195e-05,-8.250663e-05,-7.058314e-05,5.268647e-05,59398490000000.0,5375442000000.0,0.5503794,2.683622e-05,-1.34293e-05,-3.934775e-05,-1.295776e-05,1.13654e-05,-6.561513e-05,-5.593973e-05,4.39273e-05,2198842000000.0,110800000000000.0,2.010487,37900000000000.0,-1.781111
39,0.2314,6.478597,5.217268000000005,920.62,104.5431,84.60302,520.0443,259.7495,-257.3902,49210400000000.0,41713500000000.0,4000986000000.0,0.7969799,9.329045e-06,-1.313056e-05,-2.216322e-05,-1.290359e-05,-4.370336e-06,-3.132263e-05,-2.795968e-05,6.981649e-06,35177750000000.0,3153552000000.0,0.6252762,8.163106e-06,-1.087291e-05,-1.877433e-05,-1.067631e-05,-3.214256e-06,-2.678844e-05,-2.384535e-05,6.715234e-06,27969190000000.0,2094479000000.0,0.4322651,6.366306e-06,-7.79072e-06,-1.394996e-05,-7.640033e-06,-1.826577e-06,-2.019943e-05,-1.790354e-05,5.912529e-06,1274348000000.0,82750000000000.0,1.26289,17780000000000.0,-1.06821
42,0.2328,6.922137,5.170794999999997,925.4608,112.3559,84.36284,285.2988,217.3466,-337.0499,126870600000000.0,105244900000000.0,12374860000000.0,1.084319,4.901613e-05,-2.032674e-05,-6.770901e-05,-1.951165e-05,2.493707e-05,-0.0001156578,-9.799864e-05,8.448443e-05,89578310000000.0,10022590000000.0,0.8533,4.385375e-05,-1.723492e-05,-5.960964e-05,-1.652337e-05,2.320559e-05,-0.0001025071,-8.670249e-05,7.645216e-05,68144870000000.0,6687953000000.0,0.5768829,3.480488e-05,-1.249725e-05,-4.610292e-05,-1.195877e-05,1.951571e-05,-8.01469e-05,-6.759556e-05,6.173208e-05,2547979000000.0,110000000000000.0,2.237238,41870000000000.0,-1.95822
43,0.2332,7.064799,5.863075,925.658,114.7193,95.78177,-48.53256,-1.691564,-566.4934,35466090000000.0,19703380000000.0,938326100000.0,0.6235788,1.953878e-06,8.897383e-07,-1.022508e-06,9.240727e-07,2.730521e-06,-2.927968e-06,-2.231104e-06,5.14466e-06,17396650000000.0,689467000000.0,0.4945814,1.536497e-06,6.657531e-07,-8.37664e-07,6.925078e-07,2.112431e-06,-2.335973e-06,-1.787933e-06,4.010331e-06,13167630000000.0,403415900000.0,0.3387518,1.036105e-06,4.139836e-07,-5.994331e-07,4.317403e-07,1.388509e-06,-1.60967e-06,-1.240062e-06,2.667712e-06,735133300000.0,15950000000000.0,0.7506408,2037000000000.0,-0.597663
45,0.2364,6.193458,4.839115999999994,940.717,102.0859,80.10858,-397.906,-129.5747,-97.46245,83523120000000.0,60455750000000.0,6036741000000.0,0.899123,1.829509e-05,1.666354e-05,-1.245327e-06,1.685074e-05,3.367438e-05,-1.900423e-05,-1.24986e-05,5.630051e-05,46038640000000.0,4176303000000.0,0.6826489,1.488684e-05,1.28466e-05,-1.72131e-06,1.299441e-05,2.667366e-05,-1.617147e-05,-1.087645e-05,4.507664e-05,29987590000000.0,2110014000000.0,0.4371702,9.668235e-06,7.677589e-06,-1.778395e-06,7.768578e-06,1.66412e-05,-1.116266e-05,-7.722306e-06,2.85841e-05,1824554000000.0,38880000000000.0,1.420879,9399000000000.0,-1.16
48,0.2363,4.882131,5.084289000000002,942.113,80.4716,84.12618,8.784125,49.35105,-226.2315,48825950000000.0,34793290000000.0,2841007000000.0,0.7499093,5.831315e-06,1.297261e-07,-5.554013e-06,2.316594e-07,5.592411e-06,-1.123938e-05,-9.156689e-06,1.275988e-05,31909870000000.0,2336626000000.0,0.6086697,5.21551e-06,1.10411e-07,-4.97215e-06,2.006057e-07,4.993088e-06,-1.005707e-05,-8.194022e-06,1.140202e-05,22010120000000.0,1415181000000.0,0.3932914,3.8285e-06,7.291547e-08,-3.656331e-06,1.374214e-07,3.651638e-06,-7.388886e-06,-6.020774e-06,8.353336e-06,1134609000000.0,61130000000000.0,1.095144,11390000000000.0,-0.9441
50,0.2349,5.078551,6.3208440000000055,934.3034,83.03183,103.9,-117.852,-208.7995,-32.37428,36331120000000.0,32005980000000.0,2548054000000.0,0.7289297,4.803755e-06,2.24018e-06,-2.452937e-06,2.317905e-06,6.745048e-06,-7.129677e-06,-5.418073e-06,1.266915e-05,28641990000000.0,2042649000000.0,0.587263,4.24329e-06,1.890299e-06,-2.254579e-06,1.958277e-06,5.867372e-06,-6.385628e-06,-4.873517e-06,1.109913e-05,20952870000000.0,1225893000000.0,0.3890523,3.129077e-06,1.274931e-06,-1.78051e-06,1.323987e-06,4.204229e-06,-4.826755e-06,-3.711373e-06,8.060396e-06,1048516000000.0,31110000000000.0,0.895719,4741000000000.0,-0.720621
52,0.2361,5.8278680000000005,5.189269999999997,940.0384,95.94759,85.81625,21.73905,114.966,-319.0193,39118420000000.0,35177750000000.0,2713851000000.0,0.7513369,5.215844e-06,-7.406244e-08,-5.160667e-06,2.046963e-08,4.821465e-06,-1.02479e-05,-8.385056e-06,1.123657e-05,30564270000000.0,2125880000000.0,0.6026785,4.511017e-06,-6.101213e-08,-4.459422e-06,1.994996e-08,4.170369e-06,-8.859113e-06,-7.247775e-06,9.717188e-06,20183950000000.0,1140640000000.0,0.3836337,3.100059e-06,-3.829535e-08,-3.059802e-06,1.62098e-08,2.865901e-06,-6.083238e-06,-4.975571e-06,6.675818e-06,1162273000000.0,21580000000000.0,0.8650294,3176000000000.0,-0.6861379
53,0.2352,4.890666,6.973636,934.7281,79.98108,114.7514,-299.9059,-114.1628,-420.5486,155032000000000.0,142344900000000.0,15863620000000.0,1.197372,6.616871e-05,3.272749e-05,-3.175376e-05,3.320999e-05,9.347807e-05,-9.6021e-05,-7.239076e-05,0.0001747946,124852200000000.0,12974270000000.0,0.9523595,5.992773e-05,2.83273e-05,-3.005107e-05,2.874343e-05,8.328038e-05,-8.825518e-05,-6.684736e-05,0.0001568905,79390220000000.0,7688517000000.0,0.6044364,4.480592e-05,1.928589e-05,-2.432467e-05,1.956004e-05,6.025317e-05,-6.783953e-05,-5.182221e-05,0.0001152241,3320907000000.0,68320000000000.0,2.260029,26270000000000.0,-1.965964
55,0.2369,6.38029,6.535020999999994,939.4495,105.0489,108.2892,-42.43668,-229.7759,-577.3068,28834220000000.0,24797430000000.0,1705554000000.0,0.6683546,3.134498e-06,1.544799e-06,-1.52256e-06,1.59696e-06,4.492012e-06,-4.5786e-06,-3.460486e-06,8.3643e-06,21625660000000.0,1320378000000.0,0.5338039,2.684741e-06,1.257523e-06,-1.369067e-06,1.30173e-06,3.780169e-06,-3.986397e-06,-3.028644e-06,7.095814e-06,16435510000000.0,808945100000.0,0.361683,1.946504e-06,8.323193e-07,-1.071157e-06,8.637137e-07,2.65898e-06,-2.968531e-06,-2.274018e-06,5.06152e-06,876589100000.0,32970000000000.0,0.8653317,4854000000000.0,-0.682209
56,0.2387,5.247767,4.875030999999997,950.7749,87.32657,81.43414,-730.4008,-47.96226,-226.3725,61897460000000.0,38926200000000.0,3726486000000.0,0.7762561,1.08653e-05,1.980051e-05,9.098649e-06,1.986807e-05,2.991523e-05,-1.420488e-06,2.426462e-06,4.346555e-05,32005980000000.0,2616232000000.0,0.6055076,8.69816e-06,1.518479e-05,6.619999e-06,1.523687e-05,2.327503e-05,-1.800471e-06,1.279637e-06,3.411846e-05,22298460000000.0,1392946000000.0,0.3983462,5.550528e-06,8.954474e-06,3.492142e-06,8.985165e-06,1.410827e-05,-1.880553e-06,8.555105e-08,2.102254e-05,1253813000000.0,45770000000000.0,1.311133,10210000000000.0,-1.048946
58,0.2381,5.821555,5.903501000000003,946.2112,96.47229,98.34706,-502.8317,3.411361,-398.403,32486550000000.0,23451830000000.0,1812793000000.0,0.6630499,3.882718e-06,6.82818e-06,3.009551e-06,6.869348e-06,1.046514e-05,-7.581455e-07,6.188846e-07,1.529696e-05,19318930000000.0,1250755000000.0,0.5158664,3.035163e-06,5.111718e-06,2.12735e-06,5.143368e-06,7.952885e-06,-8.17712e-07,2.588317e-07,1.172884e-05,14705450000000.0,659938200000.0,0.3461527,1.982248e-06,3.114684e-06,1.166363e-06,3.134762e-06,4.968156e-06,-7.568544e-07,-5.364518e-08,7.43297e-06,844031400000.0,17780000000000.0,0.8760239,2650000000000.0,-0.6257
59,0.2368,6.149173,5.253793999999994,941.4664,101.431,87.07246,-500.4399,-111.4274,-321.0712,36811690000000.0,29699250000000.0,1944144000000.0,0.7099979,4.140175e-06,7.459418e-06,3.387934e-06,7.503638e-06,1.133789e-05,-6.291276e-07,8.389644e-07,1.648974e-05,24220740000000.0,1384050000000.0,0.5525648,3.367359e-06,5.767387e-06,2.456741e-06,5.802701e-06,8.919591e-06,-8.102634e-07,3.839212e-07,1.31084e-05,15186020000000.0,668533400000.0,0.3486841,2.132231e-06,3.340686e-06,1.24536e-06,3.362252e-06,5.333906e-06,-8.230948e-07,-6.675607e-08,7.984644e-06,1053135000000.0,24890000000000.0,0.9433953,3995000000000.0,-0.7249478
60,0.2369,6.294817,5.916803999999997,940.5354,103.75,98.06492,-248.882,-204.4379,-500.7306,90923910000000.0,62666370000000.0,7539290000000.0,0.9249839,2.580808e-05,1.523057e-05,-9.976688e-06,1.549767e-05,3.914655e-05,-3.506243e-05,-2.585927e-05,7.096026e-05,58437350000000.0,5885699000000.0,0.7433536,2.221624e-05,1.259292e-05,-9.099834e-06,1.281691e-05,3.316086e-05,-3.069356e-05,-2.276956e-05,6.053612e-05,45173610000000.0,3611272000000.0,0.5009732,1.640026e-05,8.573058e-06,-7.430942e-06,8.729009e-06,2.372575e-05,-2.337065e-05,-1.751834e-05,4.391757e-05,1692619000000.0,78410000000000.0,1.784801,23810000000000.0,-1.479
64,0.2451,5.444733,5.479312999999996,973.7462,92.81321,93.82962,-276.009,-231.5131,-198.2232,54881130000000.0,36138890000000.0,3257393000000.0,0.7544202,8.014374e-06,7.302927e-06,-5.424097e-07,7.407036e-06,1.479427e-05,-8.331776e-06,-5.480789e-06,2.470516e-05,29891470000000.0,2473307000000.0,0.5903167,6.838129e-06,5.891553e-06,-8.005602e-07,5.97871e-06,1.227789e-05,-7.446496e-06,-5.013472e-06,2.073114e-05,22971260000000.0,1537775000000.0,0.3979208,5.026347e-06,3.946902e-06,-9.697623e-07,4.008727e-06,8.633788e-06,-5.854597e-06,-4.065568e-06,1.484331e-05,1157529000000.0,89390000000000.0,1.282176,19500000000000.0,-1.09494
66,0.2518,6.338089,5.6993929999999935,996.7981,110.7183,100.0948,35.70596,-134.8033,53.00062,28738110000000.0,16339390000000.0,922307300000.0,0.6251699,1.286543e-06,-1.518097e-07,-1.406983e-06,-1.267683e-07,1.059776e-06,-2.661732e-06,-2.202668e-06,2.643146e-06,15570480000000.0,704993100000.0,0.4828764,1.077276e-06,-1.187026e-07,-1.16951e-06,-9.794085e-08,8.951465e-07,-2.220154e-06,-1.835699e-06,2.220625e-06,13071510000000.0,466366900000.0,0.3330011,8.20255e-07,-8.177689e-08,-8.816439e-07,-6.621026e-08,6.89409e-07,-1.681611e-06,-1.388806e-06,1.69825e-06,615668300000.0,30940000000000.0,0.7456262,3925000000000.0,-0.623069
