,z,RADeg,decDeg,comoving_pos_x_Mpc,comoving_pos_y_Mpc,comoving_pos_z_Mpc,pec_vel_x_km_s,pec_vel_y_km_s,pec_vel_z_km_s,Mfof,Mvir,Mgas_vir,Rvir,int_tSZ_in_Rvir,int_kSZ_in_Rvir,int_SZ_in_Rvir_148GHz,int_SZ_in_Rvir_219GHz,int_SZ_in_Rvir_277GHz,int_SZ_in_Rvir_30GHz,int_SZ_in_Rvir_90GHz,int_SZ_in_Rvir_350GHz,M200,Mgas_200,R200,int_tSZ_in_R200,int_kSZ_in_R200,int_SZ_in_R200_148GHz,int_SZ_in_R200_219GHz,int_SZ_in_R200_277GHz,int_SZ_in_R200_30GHz,int_SZ_in_R200_90GHz,int_SZ_in_R200_350GHz,M500,Mgas_500,R500,int_tSZ_in_R500,int_kSZ_in_R500,int_SZ_in_R500_148GHz,int_SZ_in_R500_219GHz,int_SZ_in_R500_277GHz,int_SZ_in_R500_30GHz,int_SZ_in_R500_90GHz,int_SZ_in_R500_350GHz,Mstar,rho_gas_c,T_c,P_c,Phi_c
4,0.1035,5.627062,6.933838,423.0478,41.68195,51.69705,69.19014,-105.2911,-40.58457,74296170000000.0,62762490000000.0,5910124000000.0,0.9794198,6.345106e-05,-7.634079e-06,-6.934037e-05,-6.556736e-06,5.154957e-05,-0.0001312361,-0.0001085298,0.0001292985,44981380000000.0,3788893000000.0,0.7065329,4.838463e-05,-5.480234e-06,-5.251884e-05,-4.675202e-06,3.959804e-05,-9.971705e-05,-8.239712e-05,9.885869e-05,26815820000000.0,1813505000000.0,0.4380517,2.959071e-05,-3.079991e-06,-3.183271e-05,-2.603377e-06,2.443891e-05,-6.069746e-05,-5.010008e-05,6.065552e-05,1938106000000.0,31630000000000.0,1.357075,7303000000000.0,-1.08213
6,0.12,5.434307,5.207482,490.3869,46.65149,44.89506,152.7997,-377.6781,-305.6786,154743600000000.0,136482000000000.0,16071400000000.0,1.260243,0.0002047231,-2.420659e-05,-0.0002223991,-2.156844e-05,0.0001639052,-0.0004222272,-0.0003486035,0.0004131539,116009700000000.0,12889830000000.0,0.9634529,0.0001839789,-2.054286e-05,-0.00019857,-1.825672e-05,0.0001482384,-0.0003781436,-0.0003119545,0.0003720888,84676490000000.0,8624976000000.0,0.6398589,0.0001471677,-1.495727e-05,-0.000157242,-1.325427e-05,0.0001196549,-0.0003008774,-0.0002478932,0.0002985061,3118613000000.0,126700000000000.0,2.585784,55740000000000.0,-2.28987
9,0.1282,5.767204,5.964198999999999,521.8175,52.70254,54.79294,-403.7084,-74.49081,-117.9049,30083700000000.0,26335250000000.0,1223314000000.0,0.7329329,7.483491e-06,1.086667e-05,3.52227e-06,1.096047e-05,1.788267e-05,-3.743618e-06,-1.087657e-06,2.717015e-05,19895610000000.0,721996200000.0,0.5351421,5.263647e-06,7.289165e-06,2.124449e-06,7.354167e-06,1.222071e-05,-2.985973e-06,-1.117601e-06,1.875138e-05,8361924000000.0,218037300000.0,0.2973041,2.375015e-06,3.073025e-06,7.433996e-07,3.101676e-06,5.295915e-06,-1.562375e-06,-7.191617e-07,8.241353e-06,1166652000000.0,5403000000000.0,0.7728048,710400000000.0,-0.494604
10,0.1291,6.445193,5.981167999999997,524.8905,59.29517,55.34358,-669.3556,-262.4337,-327.5584,29987590000000.0,22490690000000.0,1418216000000.0,0.6858886,6.19281e-06,1.820014e-05,1.208293e-05,1.825327e-05,2.401343e-05,6.078404e-06,8.270417e-06,3.176399e-05,19799500000000.0,1113848000000.0,0.5357648,5.353929e-06,1.479311e-05,9.506386e-06,1.483805e-05,1.981489e-05,4.31611e-06,6.211194e-06,2.651274e-05,16051050000000.0,744647200000.0,0.3716452,4.130586e-06,1.035658e-05,6.280086e-06,1.038994e-05,1.422577e-05,2.276741e-06,3.738872e-06,1.938971e-05,793021800000.0,48490000000000.0,0.8752799,7221000000000.0,-0.7335
11,0.1284,6.169842000000001,5.999755000000007,522.3326,56.46532,55.21695,-330.4215,-317.1027,-146.4838,51901600000000.0,42290190000000.0,3762393000000.0,0.8497101,2.278728e-05,2.437564e-05,2.045089e-06,2.465334e-05,4.56758e-05,-2.009106e-05,-1.199113e-05,7.389662e-05,33159350000000.0,2572374000000.0,0.6332458,1.818236e-05,1.833651e-05,5.238986e-07,1.855328e-05,3.531619e-05,-1.713814e-05,-1.067379e-05,5.782508e-05,20472300000000.0,1295501000000.0,0.3980946,1.153139e-05,1.058378e-05,-7.072711e-07,1.071588e-05,2.133452e-05,-1.190794e-05,-7.806708e-06,3.55999e-05,1369779000000.0,41140000000000.0,1.157095,8099000000000.0,-0.931392
12,0.1582,6.403998,6.31471,638.8658,71.70543,71.14138,409.6523,-7.224054,-148.6599,32967120000000.0,26719710000000.0,1614468000000.0,0.720301,6.458042e-06,-8.704362e-06,-1.497366e-05,-8.550472e-06,-2.62022e-06,-2.13019e-05,-1.898232e-05,5.26884e-06,21048980000000.0,1039511000000.0,0.5417717,4.908195e-06,-6.295501e-06,-1.105922e-05,-6.179483e-06,-1.674577e-06,-1.586858e-05,-1.410543e-05,4.319536e-06,9995863000000.0,364845500000.0,0.3108999,2.447062e-06,-2.889379e-06,-5.263492e-06,-2.832391e-06,-5.883408e-07,-7.66113e-06,-6.781866e-06,2.398627e-06,1064246000000.0,12150000000000.0,0.8339937,1724000000000.0,-0.592713
13,0.1572,6.175108,6.107140999999994,635.1148,68.71638,68.35084,375.2605,33.14063,-165.8947,33255470000000.0,28353650000000.0,1862802000000.0,0.7342384,6.556378e-06,-8.44859e-06,-1.481552e-05,-8.295262e-06,-2.273618e-06,-2.123755e-05,-1.88838e-05,5.739744e-06,23644060000000.0,1362316000000.0,0.5616724,5.395798e-06,-6.530329e-06,-1.176888e-05,-6.405364e-06,-1.452451e-06,-1.705388e-05,-1.511647e-05,5.140247e-06,16435510000000.0,782956600000.0,0.3665933,3.813775e-06,-4.199242e-06,-7.900355e-06,-4.112335e-06,-6.148207e-07,-1.163558e-05,-1.026584e-05,4.042446e-06,987841100000.0,42700000000000.0,0.9685004,7036000000000.0,-0.7875
14,0.1608,6.444057000000001,6.318524999999996,648.9517,73.29692,72.31422,194.094,-148.9741,-22.6552,38157280000000.0,19415040000000.0,1297523000000.0,0.6442365,5.490364e-06,-3.248366e-06,-8.590878e-06,-3.134382e-06,1.913951e-06,-1.39551e-05,-1.199021e-05,8.645538e-06,15666590000000.0,812169800000.0,0.4894426,3.949302e-06,-2.242579e-06,-6.084872e-06,-2.16126e-06,1.468604e-06,-9.943395e-06,-8.529817e-06,6.309626e-06,11341460000000.0,395387900000.0,0.3268638,2.372247e-06,-1.268038e-06,-3.575394e-06,-1.219821e-06,9.591646e-07,-5.893074e-06,-5.043784e-06,3.866007e-06,745149300000.0,18070000000000.0,0.9009972,2770000000000.0,-0.6602054
17,0.1735,6.922212,7.119136999999999,696.1781,84.52066,87.58816,94.68018,55.86098,5.331862,34793290000000.0,33351580000000.0,2192933000000.0,0.7740133,6.346334e-06,-2.300479e-06,-8.480814e-06,-2.175176e-06,3.662935e-06,-1.467514e-05,-1.240672e-05,1.14536e-05,27873080000000.0,1684599000000.0,0.5930236,5.429636e-06,-1.851498e-06,-7.138061e-06,-1.745406e-06,3.246997e-06,-1.243762e-05,-1.049652e-05,9.910539e-06,19607270000000.0,1007460000000.0,0.3887128,3.929076e-06,-1.210638e-06,-5.034794e-06,-1.135334e-06,2.474152e-06,-8.869704e-06,-7.464594e-06,7.29375e-06,1116611000000.0,31720000000000.0,0.8955409,4833000000000.0,-0.735058
19,0.1878,6.018613,5.943567999999998,754.2827,79.52605,78.96252,311.1644,-307.0547,312.1705,68913790000000.0,62378030000000.0,6574002000000.0,0.9359973,2.615884e-05,-1.689242e-05,-4.224191e-05,-1.637475e-05,7.498572e-06,-6.784883e-05,-5.844046e-05,3.93813e-05,56515070000000.0,5436659000000.0,0.7505583,2.373857e-05,-1.462602e-05,-3.762387e-05,-1.416226e-05,7.488783e-06,-6.086074e-05,-5.232122e-05,3.641129e-05,42962990000000.0,3568196000000.0,0.5003398,1.854592e-05,-1.03923e-05,-2.834874e-05,-1.004056e-05,6.850968e-06,-4.65014e-05,-3.982689e-05,2.942887e-05,1695435000000.0,102000000000000.0,1.63421,28360000000000.0,-1.39788
20,0.1891,6.639248,6.455363000000003,757.5231,88.17431,86.28976,-18.15952,2.39367,205.0157,28834220000000.0,15954930000000.0,892737000000.0,0.6035998,2.628693e-06,-5.729062e-08,-2.622277e-06,-7.41359e-09,2.416403e-06,-5.185608e-06,-4.247676e-06,5.652241e-06,13455970000000.0,579349600000.0,0.4642919,1.960508e-06,-4.084389e-08,-1.953536e-06,-3.951624e-09,1.803076e-06,-3.865278e-06,-3.165666e-06,4.215884e-06,9995863000000.0,287661800000.0,0.3074691,1.17773e-06,-2.280854e-08,-1.171503e-06,-9.623126e-10,1.083867e-06,-2.31992e-06,-1.899549e-06,2.532776e-06,626550300000.0,12570000000000.0,0.7500167,1604000000000.0,-0.5374437
21,0.1881,7.185048999999999,5.2725650000000055,754.8048,95.15392,70.20793,115.2828,-212.424,293.1833,133502400000000.0,125332700000000.0,14091330000000.0,1.17741,7.70077e-05,-1.290625e-05,-8.749346e-05,-1.180642e-05,5.810246e-05,-0.0001626734,-0.0001349984,0.0001519259,109185600000000.0,11640960000000.0,0.9250431,7.007881e-05,-1.117839e-05,-7.903079e-05,-1.020211e-05,5.336319e-05,-0.0001474449,-0.0001222524,0.000138704,80543590000000.0,7677017000000.0,0.615662,5.572135e-05,-8.155447e-06,-6.206926e-05,-7.418087e-06,4.304009e-05,-0.0001164649,-9.642174e-05,0.0001108324,2900200000000.0,65850000000000.0,2.079706,23300000000000.0,-1.81071
22,0.1885,6.277443000000001,6.872545000000005,755.1492,83.06834,91.56498,249.3855,12.53769,-58.44138,29218680000000.0,28065310000000.0,1916471000000.0,0.7244174,4.599473e-06,-4.119047e-06,-8.590852e-06,-4.01905e-06,2.079956e-07,-1.30883e-05,-1.144056e-05,5.840193e-06,25662460000000.0,1579055000000.0,0.5756126,4.124002e-06,-3.493449e-06,-7.502264e-06,-3.4045e-06,3.839915e-07,-1.153472e-05,-1.005712e-05,5.432764e-06,19415040000000.0,1045476000000.0,0.383649,3.218047e-06,-2.45767e-06,-5.584702e-06,-2.389401e-06,5.643191e-07,-8.731216e-06,-7.57788e-06,4.502086e-06,948326700000.0,61120000000000.0,0.9369387,9743000000000.0,-0.793089
23,0.1877,5.460789,5.986443999999994,754.7838,72.15611,79.51128,302.5979,-20.86753,176.0311,246052000000000.0,208855900000000.0,25420880000000.0,1.397724,0.000193801,-6.562823e-05,-0.0002522387,-6.293749e-05,0.0001113604,-0.0004418299,-0.000371787,0.0003455548,172620900000000.0,19480350000000.0,1.078005,0.000168128,-5.414821e-05,-0.0002159542,-5.190364e-05,9.911458e-05,-0.0003804255,-0.0003196332,0.0003021403,102938200000000.0,10399790000000.0,0.6683163,0.0001152835,-3.385539e-05,-0.000144684,-3.244472e-05,7.083537e-05,-0.0002574534,-0.0002157287,0.0002098407,4534261000000.0,65910000000000.0,2.932124,32880000000000.0,-2.53935
27,0.1904,5.020018,6.226105,764.8902,67.18852,83.76761,142.4738,-79.4203,213.3448,35466090000000.0,28738110000000.0,2449516000000.0,0.7211371,6.968411e-06,-3.678556e-06,-1.045958e-05,-3.5369e-06,2.868358e-06,-1.726695e-05,-1.477307e-05,1.141263e-05,27296390000000.0,1943975000000.0,0.5843782,6.095668e-06,-3.077755e-06,-9.008503e-06,-2.954842e-06,2.645976e-06,-1.496322e-05,-1.278139e-05,1.011846e-05,20376180000000.0,1160963000000.0,0.3920921,4.429592e-06,-2.053021e-06,-6.361255e-06,-1.965235e-06,2.101373e-06,-1.068831e-05,-9.102364e-06,7.528909e-06,950369200000.0,44360000000000.0,0.9837999,7425000000000.0,-0.7870197
