,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
0,26.976861,6.537250999999996,0.06463,3.10366,0.266765,0.108956,0.0730727,0.0533915,0.0442405,0.0366894
1,26.037395,5.033661999999994,0.0652,6.94108,0.596249,0.247547,0.166281,0.121533,0.100709,0.0835212
7,26.815968,5.427972000000002,0.1215,14.4553,1.25344,0.520263,0.348574,0.254293,0.210549,0.174519
10,25.982709,6.295445999999998,0.1383,1.56022,0.134225,0.0552084,0.0370789,0.0271006,0.0224569,0.0186243
12,26.585251,6.156462000000004,0.1386,0.536284,0.0503493,0.0265428,0.0205577,0.0163921,0.0139941,0.0116968
14,26.691787,7.110305,0.1422,1.67595,0.191597,0.0568914,0.0367407,0.0266941,0.0221041,0.0183282
19,25.477725000000003,5.901464000000002,0.1836,2.77908,0.593299,0.190657,0.092311,0.0542499,0.0413682,0.0326891
20,25.485952,5.919215000000001,0.1836,1.61269,0.132429,0.0539822,0.0362302,0.0264775,0.0219403,0.0181957
21,25.503603,5.943418000000003,0.1836,2.51567,0.217113,0.0898687,0.0603503,0.0441079,0.0365498,0.030312
23,26.399409,5.828422000000001,0.1866,1.18234,0.0963275,0.0374078,0.0250038,0.0182595,0.0151287,0.0125462
24,26.440372,5.797075999999999,0.1866,0.292184,0.0258273,0.0104259,0.00698353,0.00510216,0.00422771,0.00350614
25,26.845877,5.748901999999996,0.1861,2.13742,0.175655,0.0728955,0.048965,0.0357882,0.0296559,0.0245946
30,25.177403,5.258411000000005,0.2023,0.382264,0.0320617,0.0132707,0.00891398,0.00651517,0.0053988,0.00447741
31,25.226962,5.228639000000006,0.2023,0.59126,0.0508134,0.0208149,0.0139645,0.0102041,0.00845532,0.00701218
35,25.291033,4.8795630000000045,0.2054,1.44736,0.12224,0.0507181,0.034068,0.0249001,0.0206335,0.017112
36,26.340958,5.036294999999998,0.2075,0.142906,0.0122825,0.0050924,0.00342056,0.00250006,0.00207168,0.00171811
38,24.823159,6.5960869999999945,0.2215,0.377473,0.0312173,0.0129565,0.00870307,0.00636102,0.00527106,0.00437147
41,26.776422,6.650729000000001,0.2435,0.249883,0.0217141,0.00896154,0.00600512,0.00438482,0.00363243,0.00301205
42,26.759676,6.6685019999999975,0.2435,0.773253,0.0671465,0.0277795,0.018611,0.0135832,0.0112498,0.00932681
43,26.760725,6.666972999999995,0.2435,0.106595,0.00935462,0.00377687,0.00252398,0.00184205,0.00152589,0.00126528
45,26.330694,6.570532000000003,0.2458,5.73612,0.493047,0.204558,0.137401,0.100425,0.0832175,0.0690151
46,26.347388,6.573950999999997,0.2458,0.733798,0.0606459,0.0250316,0.0168137,0.012289,0.0101833,0.00844536
49,25.190457,6.133721999999998,0.2537,0.563397,0.192067,0.132285,0.081407,0.0466995,0.0312005,0.0200363
50,25.359316,6.1853,0.2555,0.25314,0.0279033,0.0104738,0.00644359,0.00451025,0.0036874,0.00303686
54,26.683119,5.5946269999999965,0.2611,7.11311,0.619013,0.253346,0.169985,0.124222,0.102935,0.0853669
55,26.054274,6.815208000000004,0.2603,1.02967,0.0900764,0.036357,0.0242958,0.0177301,0.0146864,0.0121778
56,26.081730000000004,6.848368999999995,0.2603,4.85625,0.488781,0.184717,0.118261,0.0845662,0.0695923,0.0574985
57,26.087531,6.830421000000006,0.2603,0.236405,0.0207139,0.00863876,0.00576683,0.00418901,0.00346012,0.00286253
58,26.109307,6.531773000000001,0.2609,0.318962,0.123491,0.309866,0.426447,0.495969,0.515389,0.512531
59,26.170757,7.108945000000005,0.2616,0.102799,0.0126611,0.00420414,0.00253822,0.00178245,0.00146219,0.00120722
60,26.163581,7.1077689999999984,0.2616,1.80987,0.15535,0.0644974,0.0433238,0.0316651,0.0262393,0.0217611
63,24.912204,6.644572000000006,0.2632,0.336716,0.0293663,0.0119582,0.00801807,0.00585869,0.00485462,0.00402606
64,24.848888,6.609004000000001,0.2644,0.143311,0.0123582,0.00511779,0.00343738,0.00251234,0.00208185,0.00172655
65,24.828959,6.589558999999997,0.2644,0.176691,0.0154475,0.00610434,0.00409424,0.00299214,0.00247942,0.00205627
66,24.854766,6.5697329999999985,0.2673,0.139977,0.0123774,0.00499988,0.00333476,0.00243125,0.00201326,0.00166909
67,24.855359,6.558904000000004,0.2673,0.375106,0.0330193,0.0133852,0.0089765,0.00655975,0.00543566,0.00450796
68,26.83484,7.115229000000005,0.2651,0.724691,0.0550265,0.0223727,0.0150253,0.0109818,0.00910005,0.00754698
69,26.830161,7.069458,0.2651,0.527947,0.044421,0.0184405,0.0123868,0.0090534,0.00750211,0.00622175
70,25.971793000000005,6.634973000000002,0.2654,0.111399,0.00966254,0.00397182,0.00266548,0.00194791,0.00161411,0.00133863
71,25.969708,6.651892999999998,0.2654,0.258258,0.0219242,0.00909811,0.00611132,0.00446673,0.00370136,0.00306966
74,24.989817,6.255785000000005,0.2701,0.462089,0.0382455,0.0158562,0.0106508,0.00778459,0.0064507,0.00534979
75,24.997099,6.267715999999994,0.2701,0.326456,0.0279084,0.0115879,0.00778376,0.0056891,0.00471428,0.00390971
76,24.857366000000003,6.422342999999998,0.2684,0.0917458,0.00783011,0.00324501,0.0021796,0.00159305,0.00132008,0.00109479
