,z,RADeg,decDeg,comoving_pos_x_Mpc,comoving_pos_y_Mpc,comoving_pos_z_Mpc,pec_vel_x_km_s,pec_vel_y_km_s,pec_vel_z_km_s,Mfof,Mvir,Mgas_vir,Rvir,int_tSZ_in_Rvir,int_kSZ_in_Rvir,int_SZ_in_Rvir_148GHz,int_SZ_in_Rvir_219GHz,int_SZ_in_Rvir_277GHz,int_SZ_in_Rvir_30GHz,int_SZ_in_Rvir_90GHz,int_SZ_in_Rvir_350GHz,M200,Mgas_200,R200,int_tSZ_in_R200,int_kSZ_in_R200,int_SZ_in_R200_148GHz,int_SZ_in_R200_219GHz,int_SZ_in_R200_277GHz,int_SZ_in_R200_30GHz,int_SZ_in_R200_90GHz,int_SZ_in_R200_350GHz,M500,Mgas_500,R500,int_tSZ_in_R500,int_kSZ_in_R500,int_SZ_in_R500_148GHz,int_SZ_in_R500_219GHz,int_SZ_in_R500_277GHz,int_SZ_in_R500_30GHz,int_SZ_in_R500_90GHz,int_SZ_in_R500_350GHz,Mstar,rho_gas_c,T_c,P_c,Phi_c
2023,1.8001,26.33183,6.080454999999996,4422.582,2188.834,525.6536,-49.93089,-316.6204,175.939,101208100000000.0,72470010000000.0,9150072000000.0,0.483179,9.827838e-06,1.858539e-06,-7.674664e-06,1.938493e-06,1.083386e-05,-1.723782e-05,-1.371337e-05,2.283447e-05,69202130000000.0,8496588000000.0,0.4491096,9.505349e-06,1.773659e-06,-7.445598e-06,1.849825e-06,1.045077e-05,-1.669489e-05,-1.328573e-05,2.205561e-05,42097960000000.0,4626915000000.0,0.2803859,7.08316e-06,1.210862e-06,-5.653062e-06,1.261334e-06,7.656886e-06,-1.254514e-05,-1.000273e-05,1.629391e-05,1495056000000.0,198300000000000.0,2.33623,78820000000000.0,-2.02356
2024,1.8166,26.84608,7.011621999999998,4418.75,2236.533,609.1124,44.15135,59.45834,265.2704,41809620000000.0,39695110000000.0,4484359000000.0,0.3938225,2.884533e-06,-4.582108e-07,-3.254984e-06,-4.149135e-07,2.209723e-06,-6.070337e-06,-5.034921e-06,5.72936e-06,38349510000000.0,4290850000000.0,0.3708515,2.816491e-06,-4.417261e-07,-3.172315e-06,-3.996727e-07,2.16257e-06,-5.921248e-06,-4.910187e-06,5.598818e-06,29314790000000.0,2997646000000.0,0.2491433,2.327303e-06,-3.38196e-07,-2.593356e-06,-3.046668e-07,1.809909e-06,-4.864785e-06,-4.028951e-06,4.647324e-06,893536900000.0,524300000000000.0,1.859809,165900000000000.0,-1.63746
2027,1.8198,26.81894,7.1722909999999995,4422.468,2235.785,623.5903,117.2775,-212.7624,-177.7504,34697180000000.0,32294330000000.0,3508084000000.0,0.3668676,2.012052e-06,5.102542e-08,-1.905003e-06,8.039123e-08,1.918008e-06,-3.866478e-06,-3.146119e-06,4.382241e-06,31813760000000.0,3371849000000.0,0.3485633,1.975297e-06,4.959941e-08,-1.870594e-06,7.832288e-08,1.882139e-06,-3.796233e-06,-3.089e-06,4.301179e-06,24412970000000.0,2360274000000.0,0.235839,1.637267e-06,3.795099e-08,-1.552889e-06,6.097935e-08,1.554404e-06,-3.148959e-06,-2.562513e-06,3.558178e-06,767636200000.0,386200000000000.0,1.564526,102800000000000.0,-1.35432
2029,1.8238,25.65904,6.511403999999994,4479.025,2151.666,567.1522,-95.92336,58.65098,200.0073,32967120000000.0,30564270000000.0,3350067000000.0,0.366346,1.789735e-06,1.352865e-07,-1.605872e-06,1.616579e-07,1.798332e-06,-3.350029e-06,-2.709816e-06,3.992575e-06,29987590000000.0,3170083000000.0,0.3423528,1.741083e-06,1.297869e-07,-1.56392e-06,1.55316e-07,1.747224e-06,-3.260658e-06,-2.63781e-06,3.88161e-06,21529550000000.0,2069906000000.0,0.2224097,1.383452e-06,9.456519e-08,-1.250578e-06,1.14157e-07,1.377562e-06,-2.598769e-06,-2.103641e-06,3.072381e-06,744851300000.0,406300000000000.0,1.500147,103700000000000.0,-1.30284
2032,1.8127,25.4931,6.687806999999997,4467.827,2130.384,580.3941,120.1428,423.7004,73.55173,35754430000000.0,31429300000000.0,3582150000000.0,0.3722133,2.247893e-06,-1.130172e-06,-3.304796e-06,-1.089696e-06,9.535899e-07,-5.504243e-06,-4.694967e-06,3.687292e-06,30852620000000.0,3358913000000.0,0.3429215,2.1764e-06,-1.075366e-06,-3.180596e-06,-1.036412e-06,9.413749e-07,-5.310072e-06,-4.526465e-06,3.587744e-06,23644060000000.0,2325091000000.0,0.2314014,1.780471e-06,-8.07427e-07,-2.528656e-06,-7.766069e-07,8.391071e-07,-4.270659e-06,-3.629293e-06,3.002325e-06,752103100000.0,752800000000000.0,1.911321,244800000000000.0,-1.675
2041,1.8479,26.34964,7.0803640000000065,4482.257,2220.104,621.2849,47.18034,122.7271,100.3844,34697180000000.0,29891470000000.0,3356079000000.0,0.355171,1.832998e-06,-3.937932e-07,-2.173679e-06,-3.627636e-07,1.311783e-06,-3.962866e-06,-3.305894e-06,3.553014e-06,27392510000000.0,3025738000000.0,0.3249303,1.728683e-06,-3.661521e-07,-2.044612e-06,-3.370307e-07,1.241911e-06,-3.731973e-06,-3.112344e-06,3.355364e-06,15570480000000.0,1547399000000.0,0.1993325,1.145541e-06,-2.238736e-07,-1.335579e-06,-2.051646e-07,8.398765e-07,-2.45372e-06,-2.042926e-06,2.239436e-06,786145800000.0,253800000000000.0,1.395762,60270000000000.0,-1.16226
2043,1.8406,24.83929,6.703788999999998,4532.009,2097.854,586.9957,335.6033,415.8624,324.3934,28449760000000.0,24412970000000.0,2435432000000.0,0.3321699,1.224181e-06,-1.418213e-06,-2.602384e-06,-1.38958e-06,-2.722098e-07,-3.803911e-06,-3.362438e-06,1.215674e-06,23163490000000.0,2248298000000.0,0.3084335,1.174809e-06,-1.343466e-06,-2.479793e-06,-1.316068e-06,-2.439422e-07,-3.632846e-06,-3.209158e-06,1.183795e-06,13359860000000.0,1151202000000.0,0.1889404,7.937227e-07,-8.289463e-07,-1.596231e-06,-8.108464e-07,-8.742559e-08,-2.37518e-06,-2.088823e-06,8.764651e-07,673309800000.0,219800000000000.0,1.247725,46660000000000.0,-1.02564
2044,1.8422,24.89244,6.797031,4531.443,2102.699,595.4184,358.3479,5.44204,143.094,42770760000000.0,34216610000000.0,3415813000000.0,0.372852,2.089244e-06,-1.324979e-06,-3.34646e-06,-1.284228e-06,6.17856e-07,-5.391621e-06,-4.639603e-06,3.159155e-06,33543810000000.0,3219397000000.0,0.3487647,2.026814e-06,-1.267479e-06,-3.228396e-06,-1.228108e-06,6.167835e-07,-5.212432e-06,-4.482838e-06,3.081877e-06,21914010000000.0,1953233000000.0,0.2226143,1.536302e-06,-8.738027e-07,-2.359259e-06,-8.448888e-07,5.515065e-07,-3.863071e-06,-3.309769e-06,2.418505e-06,834200900000.0,453100000000000.0,1.71101,131900000000000.0,-1.519462
2045,1.843,25.31407,6.744154000000001,4517.978,2136.996,591.0219,110.7643,264.5431,227.21,34216610000000.0,29987590000000.0,3044480000000.0,0.3565086,1.731931e-06,-8.449674e-07,-2.524303e-06,-8.123547e-07,7.687192e-07,-4.217741e-06,-3.595702e-06,2.881759e-06,27680850000000.0,2802454000000.0,0.3286494,1.664819e-06,-7.991344e-07,-2.413252e-06,-7.679329e-07,7.515522e-07,-4.041059e-06,-3.44308e-06,2.782468e-06,15186020000000.0,1447495000000.0,0.1970678,1.186522e-06,-5.149132e-07,-1.664586e-06,-4.934113e-07,5.879282e-07,-2.82468e-06,-2.398278e-06,2.034158e-06,789873100000.0,500100000000000.0,1.600745,136200000000000.0,-1.382509
2046,1.8511,27.15645,5.430969999999999,4468.979,2292.451,477.5204,155.8894,78.68417,168.9741,30275930000000.0,16243280000000.0,1543480000000.0,0.2938823,7.372504e-07,-3.95491e-07,-1.112009e-06,-3.807411e-07,2.954425e-07,-1.832418e-06,-1.568283e-06,1.197854e-06,15858820000000.0,1457026000000.0,0.2788836,7.151283e-07,-3.793847e-07,-1.074371e-06,-3.651099e-07,2.907125e-07,-1.773161e-06,-1.516942e-06,1.165993e-06,9899749000000.0,761815400000.0,0.1703038,4.919661e-07,-2.342904e-07,-7.121694e-07,-2.24709e-07,2.259362e-07,-1.192883e-06,-1.016547e-06,8.27686e-07,484049700000.0,280900000000000.0,1.112543,53170000000000.0,-0.9778
